1	1	2	0	3	2	3	0	1	1	2	3	0	0	1	1	1	3	2	4	4	4	2	0.8165	126
.	1	.	3	3	.	3	.	.	.	.	.	.	0	0	1	1	.	.	.	.	.	.	0	116
0	1	2	1	1	3	2	.	.	.	.	.	.	0	0	1	0	.	.	.	.	.	.	0	104
.	1	0	1	0	3	2	1	3	2	2	3	1	.	0	1	.	2	2	3	4	2	2	0.3878	119
2	3	3	0	3	0	3	0	2	0	4	3	4	0	1	1	0	2	2	5	2	5	4	0.6711	126
0	0	3	0	.	.	1	1	0	1	1	1	1	0	0	0	0	0	0	1	4	2	1	1.3335	103
2	2	2	0	1	2	3	1	3	1	3	2	0	1	0	1	1	3	3	1	2	4	4	0.7486	120
2	2	2	.	1	2	2	2	2	3	2	3	1	0	0	1	1	2	2	4	3	2	2	0.3008	108
0	3	1	0	0	3	3	0	3	0	3	3	0	0	0	0	1	3	2	2	5	4	1	0.6031	115
0	0	1	0	1	2	0	0	3	2	3	3	0	1	1	1	1	2	1	2	2	2	2	0.8115	119
0	2	0	1	2	0	3	3	3	3	3	3	1	0	0	1	1	3	3	1	2	3	2	0.3478	106
0	0	2	2	2	2	0	1	1	3	1	3	3	0	0	0	0	2	2	2	2	4	1	1.2043	110
2	2	0	2	3	0	3	0	4	3	4	4	3	0	0	1	0	2	2	1	1	2	2	0.4269	127
1	1	3	2	1	0	2	4	2	4	4	1	0	0	0	1	1	2	2	1	1	2	2	0.8575	121
1	1	1	2	2	1	3	2	1	3	4	3	1	0	1	1	1	3	3	1	1	4	4	0.7	101
1	0	1	1	2	1	2	0	1	3	2	3	1	1	0	1	0	3	2	2	5	4	3	0.9713	106
2	1	3	3	3	3	3	0	1	0	3	3	0	0	0	1	0	3	3	4	5	4	3	0.947	114
3	3	.	.	.	1	1	.	.	.	.	.	.	0	0	0	0	.	.	.	.	.	.	0	113
1	1	2	3	2	2	2	2	3	1	1	3	1	0	0	1	1	2	2	1	2	4	1	1.0347	110
0	1	1	0	1	1	3	4	3	2	4	3	2	0	1	1	1	3	2	3	1	2	0	1.5397	116
0	1	1	1	1	0	3	2	1	3	4	3	0	.	0	1	1	3	2	2	2	4	2	0.9601	123
1	3	0	1	3	1	2	2	3	3	3	2	3	0	0	1	1	2	2	3	3	3	1	0.2254	109
1	1	2	0	2	2	3	3	3	1	2	2	4	.	0	.	.	3	3	3	4	4	3	0.3029	115
1	0	1	1	2	1	1	1	0	1	2	1	1	1	1	0	1	2	2	4	4	3	2	0.5008	127
2	3	3	2	2	3	3	.	.	.	.	.	.	0	0	0	0	.	.	.	.	.	.	0	107
.	.	0	0	.	.	2	.	.	.	.	.	.	1	0	1	0	.	.	3	3	2	1	1.8227	101
0	1	2	1	1	0	3	3	3	3	1	2	1	0	0	1	0	2	2	1	1	3	2	0.2579	119
2	0	1	1	3	3	0	3	3	2	2	3	3	0	0	1	1	2	2	2	2	3	4	0.666	131
1	2	0	1	0	1	0	3	2	2	2	3	1	0	0	0	1	1	1	2	2	3	2	0.5224	129
2	0	2	1	1	3	2	0	1	1	3	3	1	0	1	1	0	2	2	4	4	3	1	1.3356	105
.	2	2	2	3	3	0	3	3	3	3	3	2	0	0	0	0	2	2	2	2	3	1	0.4238	122
2	2	2	2	2	2	3	3	3	3	4	3	0	1	0	1	0	2	0	2	5	4	2	0.2316	121
1	1	3	3	3	3	3	.	.	.	.	.	.	0	0	1	1	.	.	.	.	.	.	0	106
3	2	1	1	3	2	3	3	3	1	1	4	0	0	1	0	0	3	2	1	5	4	1	0.5075	119
0	3	0	.	3	2	2	.	.	.	.	.	.	0	0	1	1	.	.	.	.	.	.	0	121
1	1	1	1	1	2	0	1	3	2	3	3	1	1	0	1	1	2	2	2	2	3	2	0.5673	110
3	.	3	.	3	3	2	3	2	2	3	1	2	0	0	0	1	2	1	1	2	3	2	1.1843	129
1	2	2	2	2	1	3	3	1	4	0	3	1	0	0	1	0	2	2	4	4	4	2	0.6207	112
1	1	0	1	0	3	3	1	1	3	2	1	1	0	0	0	0	2	1	4	4	3	2	1.0968	106
1	1	3	.	3	.	3	3	4	4	1	4	1	0	0	1	1	2	2	4	2	2	3	1.6213	121
1	2	0	2	1	1	2	3	2	0	4	1	1	0	0	1	1	0	0	4	5	5	2	0.3165	131
3	3	3	.	3	3	3	3	4	4	4	4	2	0	0	1	0	3	2	1	1	3	0	2.7627	120
2	1	0	3	0	2	3	.	.	.	.	.	.	0	1	1	0	.	.	.	.	.	.	0	119
.	2	.	1	.	.	2	2	1	2	3	1	1	0	1	0	0	2	1	5	4	3	2	4.3396	113
2	1	1	3	1	0	2	2	1	2	1	1	1	1	1	1	1	3	3	4	4	4	3	3.68	131
2	2	3	3	3	3	0	.	.	.	.	.	.	0	0	1	1	.	.	.	.	.	.	0	108
2	0	1	1	1	1	2	2	3	3	3	3	3	1	0	1	1	2	0	2	2	3	2	1.3836	107
1	3	1	2	1	1	2	1	3	2	3	3	1	1	1	1	1	3	2	2	2	3	3	0.1713	131
2	2	3	1	3	3	0	0	1	1	0	3	1	0	0	1	0	3	2	2	5	4	3	0.7273	126
.	0	1	2	.	1	0	2	3	2	1	2	2	0	0	1	0	2	1	2	3	3	2	0.8658	113
0	1	0	0	3	3	2	3	2	2	2	2	2	0	0	1	0	1	1	3	2	2	1	2.0237	126
0	1	0	2	2	1	3	2	3	3	1	2	1	0	1	0	1	1	0	1	1	2	1	0.2099	118
.	.	1	.	.	.	1	2	3	2	3	4	1	0	0	0	0	1	0	3	1	4	0	1.658	132
1	1	2	2	1	2	2	1	1	3	3	3	1	0	0	0	1	2	2	2	4	4	1	1.2323	124
0	2	1	2	1	3	3	.	.	.	.	.	.	0	0	0	0	.	.	.	.	.	.	0	124
3	3	2	1	1	2	3	3	4	4	4	4	4	0	0	1	1	3	3	1	2	4	1	0.1921	118
.	2	1	2	1	2	3	4	4	3	4	3	4	0	0	1	1	3	3	4	5	5	3	0.7576	122
1	0	1	1	1	.	1	.	.	.	.	.	.	0	0	0	0	.	.	.	.	.	.	0	109
3	1	1	3	2	0	2	4	4	0	0	3	2	.	1	1	1	3	3	2	2	5	4	1.1033	119
3	1	3	2	1	2	1	1	3	2	3	1	2	0	0	1	1	3	3	2	2	3	4	0.7723	118
3	3	3	3	3	2	3	2	2	3	1	1	1	0	0	1	0	3	2	2	4	4	2	1.3239	126
2	1	1	2	2	1	0	0	3	3	3	3	1	1	0	1	0	2	2	2	4	3	3	0.4815	117
1	1	1	1	0	1	0	3	3	2	3	3	1	1	1	1	1	3	3	2	3	5	3	1.8545	123
0	3	3	1	0	3	3	3	0	1	4	3	3	1	0	1	1	1	1	3	3	1	1	1.3092	115
0	1	0	1	0	2	1	3	1	2	2	3	0	1	0	0	0	2	3	4	4	3	3	1.4371	119
2	1	2	1	1	3	.	4	2	0	4	2	0	1	0	1	1	3	3	2	4	5	2	0.276	118
0	0	2	2	2	.	2	1	3	3	3	3	1	0	1	0	0	2	2	4	2	4	2	1.3039	119
2	1	1	1	2	3	2	0	3	0	3	0	0	0	1	1	1	3	3	1	2	4	2	0.3135	126
1	2	2	2	0	0	3	0	1	4	1	1	1	1	1	1	1	3	3	2	4	5	4	0.6408	110
0	1	0	1	2	0	0	1	3	2	2	3	1	0	0	1	1	2	2	3	2	2	1	2.3279	129
1	1	1	2	2	2	3	3	1	1	1	3	3	0	0	0	0	0	0	2	4	1	0	0.1942	116
0	.	3	3	2	0	3	2	1	2	1	1	0	0	1	1	1	3	2	4	4	4	1	2.6568	107
2	1	0	1	3	3	0	2	2	1	1	2	1	0	0	1	1	2	2	3	4	4	2	1.0416	105
1	2	1	1	2	2	2	1	1	1	3	1	3	0	0	1	1	2	2	4	4	3	2	1.0313	131
2	3	3	3	3	3	3	2	4	0	3	4	0	0	0	1	1	3	3	2	4	2	3	0.3565	120
0	2	2	.	2	0	0	2	3	4	4	4	4	1	0	1	1	2	2	1	2	4	4	0.9089	113
0	1	0	1	0	1	2	.	.	.	.	.	.	1	1	1	0	.	.	.	.	.	.	0	121
1	2	2	0	1	.	3	2	1	0	0	1	0	0	1	1	1	1	1	4	2	2	2	1.64	104
3	2	2	0	1	2	0	3	1	0	3	1	2	0	0	0	0	2	1	3	3	3	1	0.8537	124
1	2	1	1	1	0	3	1	3	3	3	3	1	0	0	1	1	3	3	2	5	4	3	0.8008	120
1	1	1	2	1	1	3	0	1	1	1	1	1	0	1	1	0	2	2	4	4	4	2	0.9481	107
0	1	2	1	1	0	0	3	1	1	1	1	1	1	0	0	0	2	1	5	5	3	2	0.2573	119
1	0	0	0	0	0	0	.	.	.	.	.	.	1	0	1	1	.	.	.	.	.	.	0	133
3	0	3	3	3	.	0	4	3	2	2	0	3	0	0	1	1	3	3	1	1	3	3	0.1886	118
.	.	3	.	.	3	0	2	1	2	3	3	3	0	0	0	1	1	1	4	4	4	1	1.2656	113
.	0	0	0	0	1	0	1	1	2	2	2	2	0	0	0	0	2	2	4	4	4	2	0.3697	122
1	2	2	1	2	3	3	0	1	3	3	3	0	0	0	1	1	2	3	2	4	4	3	1.2175	126
1	0	2	1	0	1	2	.	.	.	.	.	.	0	0	1	1	.	.	.	.	.	.	0	113
3	.	3	3	3	3	3	3	4	4	4	4	4	1	0	0	0	2	1	1	5	4	1	0.3776	129
0	2	3	2	3	0	3	1	2	3	3	3	0	0	0	1	0	2	2	3	4	4	2	0.4629	112
0	0	0	0	0	0	3	1	1	2	1	3	0	1	0	0	1	2	2	2	4	4	2	1.202	117
0	.	1	0	0	1	1	.	.	.	.	.	.	0	0	0	1	.	.	.	.	.	.	0	107
0	3	3	1	0	.	2	2	1	1	3	3	3	0	0	1	1	2	2	3	2	1	4	1.5555	119
3	3	3	3	2	1	0	.	.	.	.	.	.	0	1	1	1	.	.	.	.	.	.	0	124
3	3	3	3	3	2	3	4	4	3	4	3	4	.	1	.	.	3	2	2	4	3	3	0.9623	124
2	1	2	3	1	3	3	1	1	2	3	1	0	0	1	1	1	2	2	2	3	4	2	0.4587	106
.	1	3	1	.	3	0	3	3	4	4	4	4	.	1	.	.	2	3	2	3	2	2	0.2991	125
.	.	1	.	0	.	2	3	3	3	2	3	2	0	0	1	1	1	1	4	3	2	1	1.7748	131
1	1	1	1	0	3	2	3	1	4	0	3	0	0	0	0	1	2	2	2	5	4	1	0.5333	122
0	2	2	1	0	1	3	2	3	4	3	3	3	.	0	.	.	1	2	1	4	2	1	1.0565	124
1	.	1	1	.	0	1	3	1	1	3	3	0	0	1	1	1	1	1	2	2	3	1	1.2573	109
0	1	1	2	3	2	0	2	1	2	4	1	2	0	1	0	0	2	2	3	4	3	2	1.9044	101
1	2	1	1	2	0	3	.	.	.	.	.	.	0	1	1	1	.	.	.	.	.	.	0	117
